maz;evk;szekh;szekhk
'01';'01';'Budapest';'05'
'01';'02';'Budapest';'11'
'01';'03';'Budapest';'12'
'01';'04';'Budapest';'02'
'01';'05';'Budapest';'07'
'01';'06';'Budapest';'08'
'01';'07';'Budapest';'13'
'01';'08';'Budapest';'14'
'01';'09';'Budapest';'10'
'01';'10';'Budapest';'03'
'01';'11';'Budapest';'04'
'01';'12';'Budapest';'15'
'01';'13';'Budapest';'16'
'01';'14';'Budapest';'17'
'01';'15';'Budapest';'18'
'01';'16';'Budapest';'20'
'01';'17';'Budapest';'21'
'01';'18';'Budapest';'22'
'02';'01';'Pécs';
'02';'02';'Pécs';
'02';'03';'Mohács';
'02';'04';'Szigetvár';
'03';'01';'Kecskemét';
'03';'02';'Kecskemét';
'03';'03';'Kalocsa';
'03';'04';'Kiskunfélegyháza';
'03';'05';'Kiskunhalas';
'03';'06';'Baja';
'04';'01';'Békéscsaba';
'04';'02';'Békés';
'04';'03';'Gyula';
'04';'04';'Orosháza';
'05';'01';'Miskolc';
'05';'02';'Miskolc';
'05';'03';'Ózd';
'05';'04';'Kazincbarcika';
'05';'05';'Sátoraljaújhely';
'05';'06';'Tiszaújváros';
'05';'07';'Mezőkövesd';
'06';'01';'Szeged';
'06';'02';'Szeged';
'06';'03';'Szentes';
'06';'04';'Hódmezővásárhely';
'07';'01';'Székesfehérvár';
'07';'02';'Székesfehérvár';
'07';'03';'Bicske';
'07';'04';'Dunaújváros';
'07';'05';'Sárbogárd';
'08';'01';'Győr';
'08';'02';'Győr';
'08';'03';'Csorna';
'08';'04';'Sopron';
'08';'05';'Mosonmagyaróvár';
'09';'01';'Debrecen';
'09';'02';'Debrecen';
'09';'03';'Debrecen';
'09';'04';'Berettyóújfalu';
'09';'05';'Hajdúszoboszló';
'09';'06';'Hajdúböszörmény';
'10';'01';'Eger';
'10';'02';'Gyöngyös';
'10';'03';'Hatvan';
'11';'01';'Szolnok';
'11';'02';'Jászberény';
'11';'03';'Karcag';
'11';'04';'Törökszentmiklós';
'12';'01';'Tatabánya';
'12';'02';'Esztergom';
'12';'03';'Komárom';
'13';'01';'Salgótarján';
'13';'02';'Balassagyarmat';
'14';'01';'Érd';
'14';'02';'Budakeszi';
'14';'03';'Szentendre';
'14';'04';'Vác';
'14';'05';'Dunakeszi';
'14';'06';'Gödöllő';
'14';'07';'Vecsés';
'14';'08';'Szigetszentmiklós';
'14';'09';'Nagykáta';
'14';'10';'Monor';
'14';'11';'Dabas';
'14';'12';'Cegléd';
'15';'01';'Kaposvár';
'15';'02';'Barcs';
'15';'03';'Marcali';
'15';'04';'Siófok';
'16';'01';'Nyíregyháza';
'16';'02';'Nyíregyháza';
'16';'03';'Kisvárda';
'16';'04';'Vásárosnamény';
'16';'05';'Mátészalka';
'16';'06';'Nyírbátor';
'17';'01';'Szekszárd';
'17';'02';'Dombóvár';
'17';'03';'Paks';
'18';'01';'Szombathely';
'18';'02';'Sárvár';
'18';'03';'Körmend';
'19';'01';'Veszprém';
'19';'02';'Balatonfüred';
'19';'03';'Tapolca';
'19';'04';'Pápa';
'20';'01';'Zalaegerszeg';
'20';'02';'Keszthely';
'20';'03';'Nagykanizsa';
