mtip;jlid;lsorsz
2;4;'1'
2;4;'5'
2;4;'6'
2;4;'7'
2;4;'8'
2;4;'9'
2;4;'10'
2;4;'11'
2;4;'12'
2;4;'13'
2;4;'14'
2;4;'15'
2;8;'1'
2;8;'2'
2;8;'3'
2;8;'4'
2;8;'7'
2;8;'8'
3;9;'1'
2;14;'1'
2;14;'2'
2;14;'3'
2;14;'4'
2;14;'7'
2;14;'8'
2;14;'9'
2;14;'10'
2;14;'12'
2;14;'13'
2;14;'14'
2;14;'16'
2;14;'17'
2;14;'18'
2;14;'19'
2;14;'20'
2;14;'21'
2;14;'22'
2;14;'25'
2;14;'26'
2;14;'27'
2;14;'32'
2;14;'33'
2;14;'34'
2;14;'35'
2;14;'36'
2;14;'37'
2;14;'38'
2;14;'39'
2;14;'40'
2;14;'64'
2;14;'65'
2;14;'66'
2;14;'67'
2;14;'68'
2;14;'69'
2;14;'70'
2;14;'71'
2;14;'72'
2;14;'73'
2;14;'74'
2;14;'75'
2;14;'87'
2;15;'1'
2;15;'2'
2;15;'3'
2;15;'4'
2;15;'5'
2;15;'6'
2;15;'7'
2;15;'8'
2;15;'9'
2;15;'10'
2;15;'11'
2;15;'12'
2;15;'13'
2;15;'14'
2;15;'15'
2;15;'16'
2;15;'17'
2;15;'18'
2;15;'19'
2;15;'20'
2;15;'21'
2;15;'22'
2;15;'23'
2;15;'24'
2;32;'1'
2;32;'2'
2;32;'3'
2;32;'4'
2;32;'5'
2;32;'6'
2;32;'7'
1;4118;'0'
1;3822;'0'
1;3864;'0'
1;3821;'0'
1;4200;'0'
1;3802;'0'
1;3930;'0'
1;3815;'0'
1;4430;'0'
1;4035;'0'
1;4225;'0'
1;4202;'0'
1;3865;'0'
1;3877;'0'
1;3981;'0'
1;3861;'0'
1;4065;'0'
1;3953;'0'
1;4061;'0'
1;3841;'0'
1;3875;'0'
1;3868;'0'
1;3878;'0'
1;3873;'0'
1;3828;'0'
1;3894;'0'
1;3853;'0'
1;3851;'0'
1;3817;'0'
1;3863;'0'
1;3923;'0'
1;3810;'0'
1;3844;'0'
1;3840;'0'
1;3929;'0'
1;3926;'0'
1;3925;'0'
1;3879;'0'
1;3917;'0'
1;4834;'0'
1;3819;'0'
1;3860;'0'
1;3919;'0'
1;3872;'0'
1;3832;'0'
1;3888;'0'
1;3807;'0'
1;4006;'0'
1;3869;'0'
1;3889;'0'
1;3811;'0'
1;3833;'0'
1;3843;'0'
1;3903;'0'
1;3914;'0'
1;3854;'0'
1;3876;'0'
1;3866;'0'
1;3887;'0'
1;3826;'0'
1;3958;'0'
1;3827;'0'
1;3835;'0'
1;3818;'0'
1;3813;'0'
1;3839;'0'
1;3902;'0'
1;3867;'0'
1;3836;'0'
1;3892;'0'
1;3901;'0'
1;3847;'0'
1;3959;'0'
1;3891;'0'
1;3881;'0'
1;3806;'0'
1;3830;'0'
1;3898;'0'
1;3842;'0'
1;3855;'0'
1;3900;'0'
1;3857;'0'
1;3944;'0'
1;3890;'0'
1;3862;'0'
1;3899;'0'
1;3905;'0'
1;3885;'0'
1;3884;'0'
1;3829;'0'
1;3805;'0'
1;3812;'0'
1;3933;'0'
1;3845;'0'
1;3880;'0'
1;3834;'0'
1;3825;'0'
1;3809;'0'
1;3870;'0'
1;3849;'0'
1;3920;'0'
1;3856;'0'
1;3897;'0'
1;3874;'0'
1;3858;'0'
1;3882;'0'
